"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"MEX","LIFEEXP","TOT","YR","A","2019",75.1,
"MEX","LIFEEXP","TOT","YR","A","2020",75.2,
"MEX","LIFEEXP","TOT","YR","A","2021",75.4,
"MEX","LIFEEXP","WOMEN","YR","A","2018",77.9,
"MEX","LIFEEXP","WOMEN","YR","A","2019",78,
"MEX","LIFEEXP","WOMEN","YR","A","2020",78.1,
"MEX","LIFEEXP","WOMEN","YR","A","2021",78.2,
"NLD","LIFEEXP","MEN","YR","A","2018",80.3,
"NLD","LIFEEXP","MEN","YR","A","2019",80.6,
"NLD","LIFEEXP","MEN","YR","A","2020",79.7,
"NLD","LIFEEXP","MEN","YR","A","2021",79.7,
"NLD","LIFEEXP","MEN","YR","A","2022",80.3,"P"
"NLD","LIFEEXP","TOT","YR","A","2018",81.9,
"NLD","LIFEEXP","TOT","YR","A","2019",82.2,
"NLD","LIFEEXP","TOT","YR","A","2020",81.4,
"NLD","LIFEEXP","TOT","YR","A","2021",81.4,
"NLD","LIFEEXP","TOT","YR","A","2022",81.7,"P"
"NLD","LIFEEXP","WOMEN","YR","A","2018",83.4,
"NLD","LIFEEXP","WOMEN","YR","A","2019",83.7,
"NLD","LIFEEXP","WOMEN","YR","A","2020",83.1,
"NLD","LIFEEXP","WOMEN","YR","A","2021",83,
"NLD","LIFEEXP","WOMEN","YR","A","2022",83.2,"P"
"NZL","LIFEEXP","MEN","YR","A","2018",80,
"NZL","LIFEEXP","MEN","YR","A","2019",80.3,
"NZL","LIFEEXP","MEN","YR","A","2020",80.5,
"NZL","LIFEEXP","MEN","YR","A","2021",80.5,
"NZL","LIFEEXP","TOT","YR","A","2018",81.7,
"NZL","LIFEEXP","TOT","YR","A","2019",82.1,
"NZL","LIFEEXP","TOT","YR","A","2020",82.3,
"NZL","LIFEEXP","TOT","YR","A","2021",82.3,
"NZL","LIFEEXP","WOMEN","YR","A","2018",83.5,
"NZL","LIFEEXP","WOMEN","YR","A","2019",83.9,
"NZL","LIFEEXP","WOMEN","YR","A","2020",84.1,
"NZL","LIFEEXP","WOMEN","YR","A","2021",84,
"NOR","LIFEEXP","MEN","YR","A","2018",81.1,
"NOR","LIFEEXP","MEN","YR","A","2019",81.3,
"NOR","LIFEEXP","MEN","YR","A","2020",81.6,
"NOR","LIFEEXP","MEN","YR","A","2021",81.7,
"NOR","LIFEEXP","MEN","YR","A","2022",81,"P"
"NOR","LIFEEXP","TOT","YR","A","2018",82.8,
"NOR","LIFEEXP","TOT","YR","A","2019",83,
"NOR","LIFEEXP","TOT","YR","A","2020",83.3,
"NOR","LIFEEXP","TOT","YR","A","2021",83.2,
"NOR","LIFEEXP","TOT","YR","A","2022",82.6,"P"
"NOR","LIFEEXP","WOMEN","YR","A","2018",84.5,
"NOR","LIFEEXP","WOMEN","YR","A","2019",84.7,
"NOR","LIFEEXP","WOMEN","YR","A","2020",84.9,
"NOR","LIFEEXP","WOMEN","YR","A","2021",84.7,
"NOR","LIFEEXP","WOMEN","YR","A","2022",84.2,"P"
"POL","LIFEEXP","MEN","YR","A","2018",73.7,
"POL","LIFEEXP","MEN","YR","A","2019",74.1,
"POL","LIFEEXP","MEN","YR","A","2020",72.5,
"POL","LIFEEXP","MEN","YR","A","2021",71.6,
"POL","LIFEEXP","MEN","YR","A","2022",73.5,"P"
"POL","LIFEEXP","TOT","YR","A","2018",77.7,
"POL","LIFEEXP","TOT","YR","A","2019",78,
"POL","LIFEEXP","TOT","YR","A","2020",76.5,
"POL","LIFEEXP","TOT","YR","A","2021",75.5,
"POL","LIFEEXP","TOT","YR","A","2022",77.4,"P"
"POL","LIFEEXP","WOMEN","YR","A","2018",81.7,
"POL","LIFEEXP","WOMEN","YR","A","2019",81.9,
"POL","LIFEEXP","WOMEN","YR","A","2020",80.7,
"POL","LIFEEXP","WOMEN","YR","A","2021",79.6,
"POL","LIFEEXP","WOMEN","YR","A","2022",81.3,"P"
"PRT","LIFEEXP","MEN","YR","A","2018",78.3,
"PRT","LIFEEXP","MEN","YR","A","2019",78.7,
"PRT","LIFEEXP","MEN","YR","A","2020",78,
"PRT","LIFEEXP","MEN","YR","A","2021",78.5,
"PRT","LIFEEXP","MEN","YR","A","2022",78.8,"P"
"PRT","LIFEEXP","TOT","YR","A","2018",81.5,
"PRT","LIFEEXP","TOT","YR","A","2019",81.9,
"PRT","LIFEEXP","TOT","YR","A","2020",81.1,
"PRT","LIFEEXP","TOT","YR","A","2021",81.5,
"PRT","LIFEEXP","TOT","YR","A","2022",81.7,"P"
"PRT","LIFEEXP","WOMEN","YR","A","2018",84.5,
"PRT","LIFEEXP","WOMEN","YR","A","2019",84.8,
"PRT","LIFEEXP","WOMEN","YR","A","2020",84.1,
"PRT","LIFEEXP","WOMEN","YR","A","2021",84.4,
"PRT","LIFEEXP","WOMEN","YR","A","2022",84.5,"P"
"SVK","LIFEEXP","MEN","YR","A","2018",73.9,
"SVK","LIFEEXP","MEN","YR","A","2019",74.3,
"SVK","LIFEEXP","MEN","YR","A","2020",73.5,
"SVK","LIFEEXP","MEN","YR","A","2021",71.2,
"SVK","LIFEEXP","MEN","YR","A","2022",73.7,"P"
"SVK","LIFEEXP","TOT","YR","A","2018",77.4,
"SVK","LIFEEXP","TOT","YR","A","2019",77.8,
"SVK","LIFEEXP","TOT","YR","A","2020",77,
"SVK","LIFEEXP","TOT","YR","A","2021",74.6,
"SVK","LIFEEXP","TOT","YR","A","2022",77.2,"P"
"SVK","LIFEEXP","WOMEN","YR","A","2018",80.8,
"SVK","LIFEEXP","WOMEN","YR","A","2019",81.2,
"SVK","LIFEEXP","WOMEN","YR","A","2020",80.4,
"SVK","LIFEEXP","WOMEN","YR","A","2021",78.2,
"SVK","LIFEEXP","WOMEN","YR","A","2022",80.6,"P"
"ESP","LIFEEXP","MEN","YR","A","2018",80.7,
"ESP","LIFEEXP","MEN","YR","A","2019",81.1,
"ESP","LIFEEXP","MEN","YR","A","2020",79.6,
"ESP","LIFEEXP","MEN","YR","A","2021",80.4,
"ESP","LIFEEXP","MEN","YR","A","2022",80.4,"P"
"ESP","LIFEEXP","TOT","YR","A","2018",83.5,
"ESP","LIFEEXP","TOT","YR","A","2019",84,
"ESP","LIFEEXP","TOT","YR","A","2020",82.4,
"ESP","LIFEEXP","TOT","YR","A","2021",83.3,
"ESP","LIFEEXP","TOT","YR","A","2022",83.2,"P"
"ESP","LIFEEXP","WOMEN","YR","A","2018",86.3,
"ESP","LIFEEXP","WOMEN","YR","A","2019",86.7,
"ESP","LIFEEXP","WOMEN","YR","A","2020",85.2,
"ESP","LIFEEXP","WOMEN","YR","A","2021",86.2,
"ESP","LIFEEXP","WOMEN","YR","A","2022",85.9,"P"
"SWE","LIFEEXP","MEN","YR","A","2018",80.9,
"SWE","LIFEEXP","MEN","YR","A","2019",81.5,
"SWE","LIFEEXP","MEN","YR","A","2020",80.6,
"SWE","LIFEEXP","MEN","YR","A","2021",81.3,
"SWE","LIFEEXP","MEN","YR","A","2022",81.5,"P"
"SWE","LIFEEXP","TOT","YR","A","2018",82.6,
"SWE","LIFEEXP","TOT","YR","A","2019",83.2,
"SWE","LIFEEXP","TOT","YR","A","2020",82.4,
"SWE","LIFEEXP","TOT","YR","A","2021",83.1,
"SWE","LIFEEXP","TOT","YR","A","2022",83.1,"P"
"SWE","LIFEEXP","WOMEN","YR","A","2018",84.3,
"SWE","LIFEEXP","WOMEN","YR","A","2019",84.8,
"SWE","LIFEEXP","WOMEN","YR","A","2020",84.2,
"SWE","LIFEEXP","WOMEN","YR","A","2021",84.9,
"SWE","LIFEEXP","WOMEN","YR","A","2022",84.8,"P"
"CHE","LIFEEXP","MEN","YR","A","2018",81.9,
"CHE","LIFEEXP","MEN","YR","A","2019",82.1,
"CHE","LIFEEXP","MEN","YR","A","2020",81,
"CHE","LIFEEXP","MEN","YR","A","2021",81.8,
"CHE","LIFEEXP","MEN","YR","A","2022",81.6,"P"
"CHE","LIFEEXP","TOT","YR","A","2018",83.8,
"CHE","LIFEEXP","TOT","YR","A","2019",84,
"CHE","LIFEEXP","TOT","YR","A","2020",83.1,
"CHE","LIFEEXP","TOT","YR","A","2021",83.9,
"CHE","LIFEEXP","TOT","YR","A","2022",83.5,"P"
"CHE","LIFEEXP","WOMEN","YR","A","2018",85.7,
"CHE","LIFEEXP","WOMEN","YR","A","2019",85.8,
"CHE","LIFEEXP","WOMEN","YR","A","2020",85.1,
"CHE","LIFEEXP","WOMEN","YR","A","2021",85.8,
"CHE","LIFEEXP","WOMEN","YR","A","2022",85.4,"P"
"TUR","LIFEEXP","MEN","YR","A","2018",75.6,
"TUR","LIFEEXP","MEN","YR","A","2019",75.9,
"TUR","LIFEEXP","TOT","YR","A","2018",78.3,
"TUR","LIFEEXP","TOT","YR","A","2019",78.6,
"TUR","LIFEEXP","WOMEN","YR","A","2018",81,
"TUR","LIFEEXP","WOMEN","YR","A","2019",81.3,
"GBR","LIFEEXP","MEN","YR","A","2018",79.2,
"GBR","LIFEEXP","MEN","YR","A","2019",79.6,
"GBR","LIFEEXP","MEN","YR","A","2020",78.4,
"GBR","LIFEEXP","TOT","YR","A","2018",81.1,"E"
"GBR","LIFEEXP","TOT","YR","A","2019",81.4,"E"
"GBR","LIFEEXP","TOT","YR","A","2020",80.4,"E"
"GBR","LIFEEXP","WOMEN","YR","A","2018",82.9,
"GBR","LIFEEXP","WOMEN","YR","A","2019",83.3,
"GBR","LIFEEXP","WOMEN","YR","A","2020",82.4,
"USA","LIFEEXP","MEN","YR","A","2018",76.2,
"USA","LIFEEXP","MEN","YR","A","2019",76.3,
"USA","LIFEEXP","MEN","YR","A","2020",74.2,
"USA","LIFEEXP","MEN","YR","A","2021",73.5,
"USA","LIFEEXP","TOT","YR","A","2018",78.7,
"USA","LIFEEXP","TOT","YR","A","2019",78.8,
"USA","LIFEEXP","TOT","YR","A","2020",77,
"USA","LIFEEXP","TOT","YR","A","2021",76.4,
"USA","LIFEEXP","WOMEN","YR","A","2018",81.2,
"USA","LIFEEXP","WOMEN","YR","A","2019",81.4,
"USA","LIFEEXP","WOMEN","YR","A","2020",79.9,
"USA","LIFEEXP","WOMEN","YR","A","2021",79.3,
"BRA","LIFEEXP","MEN","YR","A","2018",71.6,
"BRA","LIFEEXP","MEN","YR","A","2019",72,
"BRA","LIFEEXP","MEN","YR","A","2020",72.2,
"BRA","LIFEEXP","MEN","YR","A","2021",70.7,
"BRA","LIFEEXP","MEN","YR","A","2022",69.6,
"BRA","LIFEEXP","TOT","YR","A","2018",74.8,
"BRA","LIFEEXP","TOT","YR","A","2019",75.1,
"BRA","LIFEEXP","TOT","YR","A","2020",75.3,
"BRA","LIFEEXP","TOT","YR","A","2021",74,
"BRA","LIFEEXP","TOT","YR","A","2022",72.8,
"BRA","LIFEEXP","WOMEN","YR","A","2018",78,
"BRA","LIFEEXP","WOMEN","YR","A","2019",78.3,
"BRA","LIFEEXP","WOMEN","YR","A","2020",78.5,
"BRA","LIFEEXP","WOMEN","YR","A","2021",77.4,
"BRA","LIFEEXP","WOMEN","YR","A","2022",76,
"CHL","LIFEEXP","MEN","YR","A","2018",77.7,
"CHL","LIFEEXP","MEN","YR","A","2019",77.9,
"CHL","LIFEEXP","MEN","YR","A","2020",78.1,
"CHL","LIFEEXP","MEN","YR","A","2021",78.3,"P"
"CHL","LIFEEXP","MEN","YR","A","2022",78.5,"P"
"CHL","LIFEEXP","TOT","YR","A","2018",80.4,
"CHL","LIFEEXP","TOT","YR","A","2019",80.6,
"CHL","LIFEEXP","TOT","YR","A","2020",80.8,
"CHL","LIFEEXP","TOT","YR","A","2021",81,"P"
"CHL","LIFEEXP","TOT","YR","A","2022",81.2,"P"
"CHL","LIFEEXP","WOMEN","YR","A","2018",83.2,
"CHL","LIFEEXP","WOMEN","YR","A","2019",83.4,
"CHL","LIFEEXP","WOMEN","YR","A","2020",83.6,
"CHL","LIFEEXP","WOMEN","YR","A","2021",83.8,"P"
"CHL","LIFEEXP","WOMEN","YR","A","2022",84,"P"
"CHN","LIFEEXP","MEN","YR","A","2018",74.4,
"CHN","LIFEEXP","MEN","YR","A","2019",75,
"CHN","LIFEEXP","MEN","YR","A","2020",75.3,
"CHN","LIFEEXP","MEN","YR","A","2021",75.3,
"CHN","LIFEEXP","MEN","YR","A","2022",75.5,
"CHN","LIFEEXP","TOT","YR","A","2018",77.2,
"CHN","LIFEEXP","TOT","YR","A","2019",77.7,
"CHN","LIFEEXP","TOT","YR","A","2020",78,
"CHN","LIFEEXP","TOT","YR","A","2021",78.1,
"CHN","LIFEEXP","TOT","YR","A","2022",78.2,
"CHN","LIFEEXP","WOMEN","YR","A","2018",80.3,
