"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVK","GDP","TOT","USD_CAP","A","2021",34547.086573,
"SVK","GDP","TOT","USD_CAP","A","2022",37067.28435,
"ESP","GDP","TOT","USD_CAP","A","2018",40776.768298,
"ESP","GDP","TOT","USD_CAP","A","2019",43135.741954,
"ESP","GDP","TOT","USD_CAP","A","2020",38030.728528,
"ESP","GDP","TOT","USD_CAP","A","2021",41255.752458,"P"
"ESP","GDP","TOT","USD_CAP","A","2022",46490.547319,"P"
"SWE","GDP","TOT","USD_CAP","A","2018",53521.635778,
"SWE","GDP","TOT","USD_CAP","A","2019",56404.297122,
"SWE","GDP","TOT","USD_CAP","A","2020",56140.551353,
"SWE","GDP","TOT","USD_CAP","A","2021",60396.719301,
"SWE","GDP","TOT","USD_CAP","A","2022",65156.950747,
"CHE","GDP","TOT","USD_CAP","A","2018",70688.84449,
"CHE","GDP","TOT","USD_CAP","A","2019",72668.72555,
"CHE","GDP","TOT","USD_CAP","A","2020",71010.450577,
"CHE","GDP","TOT","USD_CAP","A","2021",77181.355797,"P"
"CHE","GDP","TOT","USD_CAP","A","2022",84593.018629,"P"
"TUR","GDP","TOT","USD_CAP","A","2018",28281.473275,
"TUR","GDP","TOT","USD_CAP","A","2019",28011.322789,
"TUR","GDP","TOT","USD_CAP","A","2020",27973.899303,
"TUR","GDP","TOT","USD_CAP","A","2021",30679.506593,
"TUR","GDP","TOT","USD_CAP","A","2022",37299.591132,"E"
"GBR","GDP","TOT","USD_CAP","A","2018",47107.7092,
"GBR","GDP","TOT","USD_CAP","A","2019",49220.202708,
"GBR","GDP","TOT","USD_CAP","A","2020",45756.801675,
"GBR","GDP","TOT","USD_CAP","A","2021",50361.491742,
"GBR","GDP","TOT","USD_CAP","A","2022",54265.752346,
"USA","GDP","TOT","USD_CAP","A","2018",62449.612827,
"USA","GDP","TOT","USD_CAP","A","2019",64690.272395,
"USA","GDP","TOT","USD_CAP","A","2020",63480.861222,
"USA","GDP","TOT","USD_CAP","A","2021",70181.12175,
"USA","GDP","TOT","USD_CAP","A","2022",76291.024903,"E"
"CHL","GDP","TOT","USD_CAP","A","2018",25496.431051,
"CHL","GDP","TOT","USD_CAP","A","2019",25509.445481,
"CHL","GDP","TOT","USD_CAP","A","2020",24738.720579,
"CHL","GDP","TOT","USD_CAP","A","2021",28070.413247,
"CHL","GDP","TOT","USD_CAP","A","2022",29866.277169,
"CHN","GDP","TOT","USD_CAP","A","2018",15466.329982,
"CHN","GDP","TOT","USD_CAP","A","2019",16624.52398,
"CHN","GDP","TOT","USD_CAP","A","2020",17176.865661,
"CHN","GDP","TOT","USD_CAP","A","2021",19429.069638,
"CHN","GDP","TOT","USD_CAP","A","2022",21314.467779,
"COL","GDP","TOT","USD_CAP","A","2018",15814.696386,
"COL","GDP","TOT","USD_CAP","A","2019",16484.762795,
"COL","GDP","TOT","USD_CAP","A","2020",15614.989482,"P"
"COL","GDP","TOT","USD_CAP","A","2021",17644.507027,"P"
"COL","GDP","TOT","USD_CAP","A","2022",20822.147787,"E"
"EST","GDP","TOT","USD_CAP","A","2018",36488.637421,
"EST","GDP","TOT","USD_CAP","A","2019",39068.367072,
"EST","GDP","TOT","USD_CAP","A","2020",39460.614767,
"EST","GDP","TOT","USD_CAP","A","2021",43505.074864,
"EST","GDP","TOT","USD_CAP","A","2022",47152.179753,
"IND","GDP","TOT","USD_CAP","A","2018",6798.503231,
"IND","GDP","TOT","USD_CAP","A","2019",7103.830936,
"IND","GDP","TOT","USD_CAP","A","2020",6643.799897,
"IDN","GDP","TOT","USD_CAP","A","2018",11798.060552,
"IDN","GDP","TOT","USD_CAP","A","2019",12481.910741,
"IDN","GDP","TOT","USD_CAP","A","2020",12224.985526,
"IDN","GDP","TOT","USD_CAP","A","2021",13083.000494,
"IDN","GDP","TOT","USD_CAP","A","2022",14395.433172,
"ISR","GDP","TOT","USD_CAP","A","2018",40082.466095,
"ISR","GDP","TOT","USD_CAP","A","2019",40663.6287,
"ISR","GDP","TOT","USD_CAP","A","2020",40073.058669,
"ISR","GDP","TOT","USD_CAP","A","2021",44158.809988,
"ISR","GDP","TOT","USD_CAP","A","2022",49788.625702,"E"
"RUS","GDP","TOT","USD_CAP","A","2018",28821.242897,
"RUS","GDP","TOT","USD_CAP","A","2019",29967.119348,
"RUS","GDP","TOT","USD_CAP","A","2020",29819.046969,"E"
"SVN","GDP","TOT","USD_CAP","A","2018",39008.297051,
"SVN","GDP","TOT","USD_CAP","A","2019",42118.699287,
"SVN","GDP","TOT","USD_CAP","A","2020",40885.50612,
"SVN","GDP","TOT","USD_CAP","A","2021",44041.052941,
"SVN","GDP","TOT","USD_CAP","A","2022",48361.944853,
"ZAF","GDP","TOT","USD_CAP","A","2018",14545.431392,
"ZAF","GDP","TOT","USD_CAP","A","2019",14654.557239,
"ZAF","GDP","TOT","USD_CAP","A","2020",13716.632593,
"ZAF","GDP","TOT","USD_CAP","A","2021",14812.842929,
"ZAF","GDP","TOT","USD_CAP","A","2022",15953.4746,
"OECD","GDP","TOT","USD_CAP","A","2018",45192.425239,
"OECD","GDP","TOT","USD_CAP","A","2019",46663.58607,"P"
"OECD","GDP","TOT","USD_CAP","A","2020",45378.713391,"P"
"OECD","GDP","TOT","USD_CAP","A","2021",49215.284199,"E"
"OECD","GDP","TOT","USD_CAP","A","2022",54052.623879,"E"
"OECDE","GDP","TOT","USD_CAP","A","2018",44161.180212,
"OECDE","GDP","TOT","USD_CAP","A","2019",46339.16657,"P"
"OECDE","GDP","TOT","USD_CAP","A","2020",44633.852096,"P"
"OECDE","GDP","TOT","USD_CAP","A","2021",48235.707268,"P"
"OECDE","GDP","TOT","USD_CAP","A","2022",53738.904931,"E"
"LVA","GDP","TOT","USD_CAP","A","2018",30891.883835,
"LVA","GDP","TOT","USD_CAP","A","2019",32825.168517,
"LVA","GDP","TOT","USD_CAP","A","2020",32810.267063,
"LVA","GDP","TOT","USD_CAP","A","2021",34796.912268,
"LVA","GDP","TOT","USD_CAP","A","2022",39680.779825,
"BRA","GDP","TOT","USD_CAP","A","2018",15088.873591,
"BRA","GDP","TOT","USD_CAP","A","2019",15424.038754,
"BRA","GDP","TOT","USD_CAP","A","2020",15173.607426,
"LTU","GDP","TOT","USD_CAP","A","2018",36376.535744,
"LTU","GDP","TOT","USD_CAP","A","2019",39992.555913,
"LTU","GDP","TOT","USD_CAP","A","2020",40211.863803,
"LTU","GDP","TOT","USD_CAP","A","2021",43931.670922,
"LTU","GDP","TOT","USD_CAP","A","2022",48860.743439,
"SAU","GDP","TOT","USD_CAP","A","2018",49189.778812,
"SAU","GDP","TOT","USD_CAP","A","2019",49055.641241,
"SAU","GDP","TOT","USD_CAP","A","2020",46378.343249,
"EA19","GDP","TOT","USD_CAP","A","2018",47633.124787,
"EA19","GDP","TOT","USD_CAP","A","2019",50338.91382,
"EA19","GDP","TOT","USD_CAP","A","2020",48285.694631,
"EA19","GDP","TOT","USD_CAP","A","2021",51748.339034,
"EA19","GDP","TOT","USD_CAP","A","2022",56873.281059,
"ARG","GDP","TOT","USD_CAP","A","2018",23290.675736,
"ARG","GDP","TOT","USD_CAP","A","2019",23003.277177,
"ARG","GDP","TOT","USD_CAP","A","2020",20763.271623,
"ARG","GDP","TOT","USD_CAP","A","2021",23649.642932,
"CRI","GDP","TOT","USD_CAP","A","2018",21312.71338,
"CRI","GDP","TOT","USD_CAP","A","2019",22739.241909,
"CRI","GDP","TOT","USD_CAP","A","2020",21755.528069,
"CRI","GDP","TOT","USD_CAP","A","2021",22612.375289,"E"
"CRI","GDP","TOT","USD_CAP","A","2022",24776.739003,"E"
"BGR","GDP","TOT","USD_CAP","A","2018",23005.723452,
"BGR","GDP","TOT","USD_CAP","A","2019",25158.782002,
"BGR","GDP","TOT","USD_CAP","A","2020",25280.885314,
"BGR","GDP","TOT","USD_CAP","A","2021",28099.210579,
"BGR","GDP","TOT","USD_CAP","A","2022",34074.535136,"B"
"HRV","GDP","TOT","USD_CAP","A","2018",28958.904269,
"HRV","GDP","TOT","USD_CAP","A","2019",31645.33166,
"HRV","GDP","TOT","USD_CAP","A","2020",29759.806581,
"HRV","GDP","TOT","USD_CAP","A","2021",34139.953461,
"HRV","GDP","TOT","USD_CAP","A","2022",40179.649379,"E"
"CYP","GDP","TOT","USD_CAP","A","2018",40676.395546,
"CYP","GDP","TOT","USD_CAP","A","2019",44038.86115,
"CYP","GDP","TOT","USD_CAP","A","2020",41421.822429,
"CYP","GDP","TOT","USD_CAP","A","2021",44393.9811,"P"
"CYP","GDP","TOT","USD_CAP","A","2022",49741.815984,"P"
"MLT","GDP","TOT","USD_CAP","A","2018",45582.873183,
"MLT","GDP","TOT","USD_CAP","A","2019",49155.630788,
"MLT","GDP","TOT","USD_CAP","A","2020",44900.735579,
"MLT","GDP","TOT","USD_CAP","A","2021",49980.098186,
"MLT","GDP","TOT","USD_CAP","A","2022",55332.553581,
"ROU","GDP","TOT","USD_CAP","A","2018",29553.041501,
"ROU","GDP","TOT","USD_CAP","A","2019",33028.052566,
"ROU","GDP","TOT","USD_CAP","A","2020",33279.537142,
"ROU","GDP","TOT","USD_CAP","A","2021",36307.385279,
"ROU","GDP","TOT","USD_CAP","A","2022",41605.309038,"P"
"MKD","GDP","TOT","USD_CAP","A","2018",16796.298138,"E"
"MKD","GDP","TOT","USD_CAP","A","2019",18007.14396,"E"
"MKD","GDP","TOT","USD_CAP","A","2020",17323.102057,"E"
"ZMB","GDP","TOT","USD_CAP","A","2018",3507.79523,
"ZMB","GDP","TOT","USD_CAP","A","2019",3514.688008,
"ZMB","GDP","TOT","USD_CAP","A","2020",3358.004891,
"HKG","GDP","TOT","USD_CAP","A","2018",62510.60171,"E"
"HKG","GDP","TOT","USD_CAP","A","2019",62102.600449,"E"
"HKG","GDP","TOT","USD_CAP","A","2020",58949.465954,"E"
"HKG","GDP","TOT","USD_CAP","A","2021",65892.583581,"E"
"MDG","GDP","TOT","USD_CAP","A","2018",1643.791121,"E"
"MDG","GDP","TOT","USD_CAP","A","2019",1702.648643,"E"
"MDG","GDP","TOT","USD_CAP","A","2020",1561.08077,"E"
"MAR","GDP","TOT","USD_CAP","A","2018",8543.309967,"E"
"MAR","GDP","TOT","USD_CAP","A","2019",8807.802665,"E"
"MAR","GDP","TOT","USD_CAP","A","2020",8051.435771,"E"
"MAR","GDP","TOT","USD_CAP","A","2021",9073.558801,"E"
"SGP","GDP","TOT","USD_CAP","A","2018",100649.227878,
"SGP","GDP","TOT","USD_CAP","A","2019",102792.722332,
"SGP","GDP","TOT","USD_CAP","A","2020",100574.751795,
"SGP","GDP","TOT","USD_CAP","A","2021",124341.827548,
"EU27_2020","GDP","TOT","USD_CAP","A","2018",44676.873841,
"EU27_2020","GDP","TOT","USD_CAP","A","2019",47452.417297,
"EU27_2020","GDP","TOT","USD_CAP","A","2020",45877.785864,
"EU27_2020","GDP","TOT","USD_CAP","A","2021",49301.971398,
"EU27_2020","GDP","TOT","USD_CAP","A","2022",54473.695018,
"ALB","GDP","TOT","USD_CAP","A","2018",13498.122566,
"ALB","GDP","TOT","USD_CAP","A","2019",14407.379403,
"ALB","GDP","TOT","USD_CAP","A","2020",14033.967211,"P"
"SRB","GDP","TOT","USD_CAP","A","2018",17717.89125,
"SRB","GDP","TOT","USD_CAP","A","2019",19404.882561,
"SRB","GDP","TOT","USD_CAP","A","2020",19547.72567,
"SRB","GDP","TOT","USD_CAP","A","2021",21588.39529,"P"
"GEO","GDP","TOT","USD_CAP","A","2018",14593.90772,
"GEO","GDP","TOT","USD_CAP","A","2019",15621.873636,
"GEO","GDP","TOT","USD_CAP","A","2020",14731.202573,
"GEO","GDP","TOT","USD_CAP","A","2021",17013.566329,
"CMR","GDP","TOT","USD_CAP","A","2018",3800.566288,
"CMR","GDP","TOT","USD_CAP","A","2019",3900.880855,
"CMR","GDP","TOT","USD_CAP","A","2020",3861.20989,
"SEN","GDP","TOT","USD_CAP","A","2018",3416.171427,
"SEN","GDP","TOT","USD_CAP","A","2019",3530.096494,
"SEN","GDP","TOT","USD_CAP","A","2020",3513.149951,
